event_id,date,event_type,title,description,impact_area,severity,segment,fiscal_year,fiscal_quarter,fiscal_period
EVT-001,2023-03-15,product_launch,AetherFlash generally available,"First generally available release of the AetherFlash all-flash array, opening the mid-market motion.","revenue,new_logo_acv_usd,pipeline_usd",medium,Mid-Market,2024,Q1,Q1 FY2024
EVT-002,2023-08-01,org_change,Opened EMEA headquarters in Dublin,"Stood up EMEA sales, solutions engineering, and a small support pod to pursue multinational accounts.","pipeline_usd,headcount,opex_usd",low,Enterprise,2024,Q3,Q3 FY2024
EVT-003,2024-01-12,market,Growth financing closed,Closed a growth round used to expand enterprise sales capacity heading into FY2025.,"headcount,opex_usd,pipeline_usd",medium,Company,2024,Q4,Q4 FY2024
EVT-004,2024-03-20,org_change,Enterprise sales kickoff,Reoriented the FY2025 plan around 50 named enterprise accounts and a dedicated closer team.,"pipeline_usd,win_rate_pct,new_logo_acv_usd",low,Enterprise,2025,Q1,Q1 FY2025
EVT-005,2024-06-12,product_launch,AetherFlash 2.0 launch,"Shipped AetherFlash 2.0 with 2x density, native replication, and a consumption SKU. Largest demand-gen week in company history.","revenue,arr_usd,new_logo_acv_usd,pipeline_usd,win_rate_pct",high,Company,2025,Q2,Q2 FY2025
EVT-006,2024-07-01,partnership,National channel partner program launched,Signed 12 regional VARs and introduced deal-registration incentives that expanded mid-market coverage.,"pipeline_usd,new_logo_acv_usd,cac_usd",medium,Mid-Market,2025,Q2,Q2 FY2025
EVT-007,2024-09-18,outage,US-East control-plane outage (14 hours),A configuration error took the US-East management plane offline for 14 hours. Several enterprise customers invoked SLA credits and two logos churned.,"support_tickets,churned_arr_usd,nrr_pct,gross_margin_pct,revenue",high,Enterprise,2025,Q3,Q3 FY2025
EVT-008,2024-10-02,outage,SLA credits and customer advisory issued,Issued service credits and a public advisory after the September outage. Support backlog remained elevated through October.,"support_tickets,gross_margin_pct,nrr_pct,churned_arr_usd",medium,Company,2025,Q3,Q3 FY2025
EVT-009,2024-11-15,competitor,NimbusBlock announced a 20% list-price cut,Primary competitor NimbusBlock cut list prices by 20% on comparable all-flash SKUs and started matching bake-off discounts.,"win_rate_pct,pipeline_usd,new_logo_acv_usd,revenue",high,Enterprise,2025,Q4,Q4 FY2025
EVT-010,2024-12-05,competitor,Lost two late-stage enterprise bake-offs,Lost Northwind Logistics and Helios Health bake-offs to NimbusBlock on price. Pipeline coverage for Q4 slipped below 2x.,"win_rate_pct,pipeline_usd,new_logo_acv_usd",high,Enterprise,2025,Q4,Q4 FY2025
EVT-011,2025-02-10,pricing_change,List prices increased 8%,Raised list prices 8% across AetherFlash SKUs. Enterprise deals were grandfathered for 90 days; SMB and some mid-market renewals saw sticker shock.,"revenue,gross_margin_pct,churned_arr_usd,nrr_pct",high,Company,2026,Q1,Q1 FY2026
EVT-012,2025-03-01,partnership,Northwind Cloud marketplace partnership,"AetherFlash became a featured marketplace offering on Northwind Cloud, unlocking a new enterprise consumption motion.","revenue,arr_usd,pipeline_usd,new_logo_acv_usd,win_rate_pct",high,Cloud,2026,Q1,Q1 FY2026
EVT-013,2025-04-18,pricing_change,SMB churn after price increase,A cluster of SMB customers declined renewal after the February price increase. Logo churn was concentrated below $80k ACV.,"churned_arr_usd,ending_customers,nrr_pct",medium,Mid-Market,2026,Q1,Q1 FY2026
EVT-014,2025-05-22,org_change,CEO transition announced,"Founder-CEO announced a planned transition. Incoming CEO Mira Chen named, effective July 1. Some late-stage buyers paused.","pipeline_usd,win_rate_pct,headcount",medium,Company,2026,Q2,Q2 FY2026
EVT-015,2025-06-15,org_change,Sales territory realignment,New CEO realigned territories and quota. Coverage gaps in the Central region delayed several FY26 Q2 close plans.,"pipeline_usd,win_rate_pct,new_logo_acv_usd,revenue",high,Enterprise,2026,Q2,Q2 FY2026
EVT-016,2025-08-28,supply,NAND supply constraint,A key NAND supplier missed deliveries. Lead times stretched from 3 weeks to 11 weeks and several Q3 shipments slipped.,"revenue,gross_margin_pct,pipeline_usd,support_tickets",high,Company,2026,Q3,Q3 FY2026
EVT-017,2025-09-10,supply,AetherOne shipments delayed,First AetherOne customer shipments delayed into Q4 because of the NAND constraint. A few customers accepted AetherFlash 2.0 as a bridge.,"revenue,arr_usd,win_rate_pct,support_tickets",high,Enterprise,2026,Q3,Q3 FY2026
EVT-018,2025-11-05,product_launch,AetherOne generally available,"Launched AetherOne, a disaggregated high-density platform aimed at AI/analytics estates. Early attach was strongest in Enterprise and Cloud.","revenue,arr_usd,new_logo_acv_usd,expansion_acv_usd,pipeline_usd,win_rate_pct",high,Enterprise,2026,Q4,Q4 FY2026
EVT-019,2025-12-12,market,Record year-end enterprise close,Closed four eight-figure AetherOne deals in the second week of December as supply recovered and year-end budgets landed.,"revenue,arr_usd,new_logo_acv_usd,win_rate_pct",high,Enterprise,2026,Q4,Q4 FY2026
EVT-020,2026-01-20,market,FedRAMP Moderate authorization,"Received FedRAMP Moderate authorization, opening a civilian-agency pipeline for FY2027.","pipeline_usd,new_logo_acv_usd",medium,Enterprise,2026,Q4,Q4 FY2026
