period,fiscal_year,fiscal_quarter,fiscal_period,segment,metric_name,metric_value,unit,metric_kind,description
2023-02,2024,Q1,Q1 FY2024,Company,revenue_usd,19040000.0,USD,flow,Recognized product and subscription revenue
2023-02,2024,Q1,Q1 FY2024,Company,arr_usd,292000000.0,USD,stock,Ending annual recurring revenue
2023-02,2024,Q1,Q1 FY2024,Enterprise,revenue_usd,11424000.0,USD,flow,Recognized product and subscription revenue
2023-02,2024,Q1,Q1 FY2024,Enterprise,arr_usd,175200000.0,USD,stock,Ending annual recurring revenue
2023-02,2024,Q1,Q1 FY2024,Mid-Market,revenue_usd,5140800.0,USD,flow,Recognized product and subscription revenue
2023-02,2024,Q1,Q1 FY2024,Mid-Market,arr_usd,78840000.0,USD,stock,Ending annual recurring revenue
2023-02,2024,Q1,Q1 FY2024,Cloud,revenue_usd,2475200.0,USD,flow,Recognized product and subscription revenue
2023-02,2024,Q1,Q1 FY2024,Cloud,arr_usd,37960000.0,USD,stock,Ending annual recurring revenue
2023-02,2024,Q1,Q1 FY2024,Company,new_logo_acv_usd,5040000.0,USD,flow,Annual contract value from new customers
2023-02,2024,Q1,Q1 FY2024,Company,expansion_acv_usd,2520000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-02,2024,Q1,Q1 FY2024,Company,churned_arr_usd,1176000.0,USD,flow,ARR lost to logo churn and downsell
2023-02,2024,Q1,Q1 FY2024,Company,nrr_pct,114.0,percent,rate,Net revenue retention
2023-02,2024,Q1,Q1 FY2024,Company,gross_margin_pct,68.4,percent,rate,Gross margin
2023-02,2024,Q1,Q1 FY2024,Company,opex_usd,11480000.0,USD,flow,Operating expenses
2023-02,2024,Q1,Q1 FY2024,Company,ending_customers,410.0,count,stock,Ending customer count
2023-02,2024,Q1,Q1 FY2024,Company,pipeline_usd,210000000.0,USD,stock,Qualified pipeline at period end
2023-02,2024,Q1,Q1 FY2024,Company,win_rate_pct,27.0,percent,rate,Competitive win rate
2023-02,2024,Q1,Q1 FY2024,Company,cac_usd,42000.0,USD,rate,Customer acquisition cost
2023-02,2024,Q1,Q1 FY2024,Company,support_tickets,509.6,count,flow,Opened support tickets
2023-02,2024,Q1,Q1 FY2024,Company,headcount,620.0,count,stock,Ending employee headcount
2023-03,2024,Q1,Q1 FY2024,Company,revenue_usd,20400000.0,USD,flow,Recognized product and subscription revenue
2023-03,2024,Q1,Q1 FY2024,Company,arr_usd,292000000.0,USD,stock,Ending annual recurring revenue
2023-03,2024,Q1,Q1 FY2024,Enterprise,revenue_usd,12240000.0,USD,flow,Recognized product and subscription revenue
2023-03,2024,Q1,Q1 FY2024,Enterprise,arr_usd,175200000.0,USD,stock,Ending annual recurring revenue
2023-03,2024,Q1,Q1 FY2024,Mid-Market,revenue_usd,5508000.0,USD,flow,Recognized product and subscription revenue
2023-03,2024,Q1,Q1 FY2024,Mid-Market,arr_usd,78840000.0,USD,stock,Ending annual recurring revenue
2023-03,2024,Q1,Q1 FY2024,Cloud,revenue_usd,2652000.0,USD,flow,Recognized product and subscription revenue
2023-03,2024,Q1,Q1 FY2024,Cloud,arr_usd,37960000.0,USD,stock,Ending annual recurring revenue
2023-03,2024,Q1,Q1 FY2024,Company,new_logo_acv_usd,5400000.0,USD,flow,Annual contract value from new customers
2023-03,2024,Q1,Q1 FY2024,Company,expansion_acv_usd,2700000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-03,2024,Q1,Q1 FY2024,Company,churned_arr_usd,1260000.0,USD,flow,ARR lost to logo churn and downsell
2023-03,2024,Q1,Q1 FY2024,Company,nrr_pct,114.0,percent,rate,Net revenue retention
2023-03,2024,Q1,Q1 FY2024,Company,gross_margin_pct,68.4,percent,rate,Gross margin
2023-03,2024,Q1,Q1 FY2024,Company,opex_usd,12300000.0,USD,flow,Operating expenses
2023-03,2024,Q1,Q1 FY2024,Company,ending_customers,410.0,count,stock,Ending customer count
2023-03,2024,Q1,Q1 FY2024,Company,pipeline_usd,210000000.0,USD,stock,Qualified pipeline at period end
2023-03,2024,Q1,Q1 FY2024,Company,win_rate_pct,27.0,percent,rate,Competitive win rate
2023-03,2024,Q1,Q1 FY2024,Company,cac_usd,42000.0,USD,rate,Customer acquisition cost
2023-03,2024,Q1,Q1 FY2024,Company,support_tickets,546.0,count,flow,Opened support tickets
2023-03,2024,Q1,Q1 FY2024,Company,headcount,620.0,count,stock,Ending employee headcount
2023-04,2024,Q1,Q1 FY2024,Company,revenue_usd,28560000.0,USD,flow,Recognized product and subscription revenue
2023-04,2024,Q1,Q1 FY2024,Company,arr_usd,292000000.0,USD,stock,Ending annual recurring revenue
2023-04,2024,Q1,Q1 FY2024,Enterprise,revenue_usd,17136000.0,USD,flow,Recognized product and subscription revenue
2023-04,2024,Q1,Q1 FY2024,Enterprise,arr_usd,175200000.0,USD,stock,Ending annual recurring revenue
2023-04,2024,Q1,Q1 FY2024,Mid-Market,revenue_usd,7711200.0,USD,flow,Recognized product and subscription revenue
2023-04,2024,Q1,Q1 FY2024,Mid-Market,arr_usd,78840000.0,USD,stock,Ending annual recurring revenue
2023-04,2024,Q1,Q1 FY2024,Cloud,revenue_usd,3712800.0,USD,flow,Recognized product and subscription revenue
2023-04,2024,Q1,Q1 FY2024,Cloud,arr_usd,37960000.0,USD,stock,Ending annual recurring revenue
2023-04,2024,Q1,Q1 FY2024,Company,new_logo_acv_usd,7560000.0,USD,flow,Annual contract value from new customers
2023-04,2024,Q1,Q1 FY2024,Company,expansion_acv_usd,3780000.0,USD,flow,Upsell and cross-sell ACV from existing customers
2023-04,2024,Q1,Q1 FY2024,Company,churned_arr_usd,1764000.0,USD,flow,ARR lost to logo churn and downsell
2023-04,2024,Q1,Q1 FY2024,Company,nrr_pct,114.0,percent,rate,Net revenue retention
